Number.of.predictors,CV.RMSE,CV.AUC,CV.threshold,CV.expected.Loss
5,0.3503572585547153,0.6455616421942283,0.33708389754284107,0.28750451900680773
29,0.3445527587707537,0.6913800011035943,0.396153240336391,0.27309118051746
48,0.34528041984410757,0.6720351583890612,0.43315752202232477,0.2892484689335144
36,0.34552070401308904,0.6922672779452493,0.4034728715728715,0.2806748383499555
